STORE_IDENTIFIER,POSTAL_CODE,STORES,PRODUCT_NAME,status
S100009552,30080,289,Digital Contracting,yes
S100009552,30080,289,Common Admin,yes
S100009552,30080,289,Deal Admin Settings,yes
S100009552,30080,39,Identity Information Service,yes
S100009552,30080,289,Consumer PII Settings,yes
S100009552,30080,21,Asbury Discount Code copy,no
S100009552,30080,67,CDK Hub,no
S100009552,30080,12,Enterprise Information System,yes
S100009552,30080,76,DMS Platform,no
S100009552,30080,12,Federation,no
S100009552,30080,289,Lead Settings,yes
S100009552,30080,289,Product Info Service,yes
S100009552,30080,90,Connected Store,yes
S100009531,30076-1420,23,Enterprise Information System,yes
S100036733,29607,42,Digital Contracting,yes
S100036733,29607,12,Federation,no
S100009531,30076-1420,67,CDK Hub,no
S100009531,30076-1420,12,Product Info Service,no
S100036733,29607,39,Product Info Service,yes
S100009531,30076-1420,76,Consumer PII Settings,no
S100036733,29607,21,HAILER,yes
S100036733,29607,90,Enterprise Information System,no
S100036733,29607,23,Identity Information Service,yes
S100036733,29607,42,Asbury Discount Code copy,no
